
C:\Users\matias.araya.cohen\Documents\ITAU-ConsolodicacionDeSistemas\server-discovery>netstat -no 

Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:50809        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50812        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50813        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50817        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50820        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50821        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50823        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50826        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50828        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50832        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50834        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50842        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50846        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50851        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50853        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50858        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50861        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50863        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50864        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50872        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50873        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50876        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50881        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50883        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50885        127.0.0.1:55040        CLOSE_WAIT      14320
